Cat,Name,Smiles,PIC50_pred,
S4706,Eugenol,COC1=C(O)C=CC(=C1)CC=C,6.297773116,
E4257,Vanillylamine,COC1=CC(=CC=C1O)CN,6.297773116,
S3984,Nordihydroguaiaretic acid (NDGA),CC(CC1=CC=C(O)C(=C1)O)C(C)CC2=CC=C(O)C(=C2)O,6.290051443,
S2450,Equol,OC1=CC=C(C=C1)C2COC3=CC(=CC=C3C2)O,6.224215269,
S3626,Sesamol,OC1=CC2=C(OCO2)C=C1,6.224215269,
S3922,(-)-epigallocatechin,OC1CC2=C(OC1C3=CC(=C(O)C(=C3)O)O)C=C(O)C=C2O,6.224215269,
S3974,(+)-Catechin hydrate,OC1CC2=C(OC1C3=CC(=C(O)C=C3)O)C=C(O)C=C2O,6.224215269,
S4722,(+)-Catechin,OC1CC2=C(OC1C3=CC(=C(O)C=C3)O)C=C(O)C=C2O,6.224215269,
S4723,(-)Epicatechin,OC1CC2=C(OC1C3=CC(=C(O)C=C3)O)C=C(O)C=C2O,6.224215269,
S6601,(¡À)-Equol,OC1=CC=C(C=C1)C2COC3=C(C2)C=CC(=C3)O,6.224215269,
S9048,(+)-Gallocatechin,OC1CC2=C(OC1C3=CC(=C(O)C(=C3)O)O)C=C(O)C=C2O,6.224215269,
S9387,Maackiain,OC1=CC2=C(C=C1)C3OC4=C(C=C5OCOC5=C4)C3CO2,6.224215269,
S3290,Procyanidin B2,OC1CC2=C(OC1C3=CC(=C(O)C=C3)O)C(=C(O)C=C2O)C4C(O)C(OC5=CC(=CC(=C45)O)O)C6=CC(=C(O)C=C6)O,6.224215269,
E4537,(¡À)-Catechin hydrate,OC1CC2=C(O)C=C(O)C=C2OC1C3=CC(=C(O)C=C3)O,6.224215269,
S9243,Protosappanin B,OCC1(O)COC2=CC(=CC=C2C3=CC(=C(O)C=C3C1)O)O,6.127814249,
S3780,Secoisolariciresinol diglucoside,COC1=C(O)C=CC(=C1)CC(COC2OC(CO)C(O)C(O)C2O)C(COC3OC(CO)C(O)C(O)C3O)CC4=CC(=C(O)C=C4)OC,6.110608522,
S9146,Anwuligan,COC1=C(O)C=CC(=C1)CC(C)C(C)CC2=CC3=C(OCO3)C=C2,6.110608522,
S2384,Hematoxylin,OC1=CC2=C(C=C1O)C3C4=C(OCC3(O)C2)C(=C(O)C=C4)O,6.054796395,
S9428,Brazilin,OC1=CC2=C(C=C1)C3C4=CC(=C(O)C=C4CC3(O)CO2)O,6.054796395,
S5144,Neferine,COC1=CC=C(CC2N(C)CCC3=C2C=C(OC4=CC(=CC=C4O)CC5N(C)CCC6=C5C=C(OC)C(=C6)OC)C(=C3)OC)C=C1,6.035828939,
S9150,Daurisoline,COC1=CC2=C(C=C1O)C(CC3=CC(=C(O)C=C3)OC4=CC=C(CC5N(C)CCC6=C5C=C(OC)C(=C6)OC)C=C4)N(C)CC2,6.035828939,
S9186,Liensinine perchlorate,COC1=CC2=C(C=C1OC)C(CC3=CC=C(O)C(=C3)OC4=CC5=C(CCN(C)C5CC6=CC=C(O)C=C6)C=C4OC)N(C)CC2.O[Cl](=O)(=O)=O,6.035828939,
